Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Fight URL,Event URL,method,Fighter1_Elo_Start,Fighter2_Elo_Start,Fighter1_Elo_End,Fighter2_Elo_End
UFC 153: Silva vs Bonnar,2012-11-10,Light Heavyweight,Anderson Silva,Stephan Bonnar,Anderson Silva,KO/TKOKnee,1,4:40,http://ufcstats.com/fight-details/526ab0f38313c630,http://ufcstats.com/event-details/96d173b7f92aa520,KO,1252.3158266869832,1055.3267940539172,1259.518875717132,1048.1237450237684
UFC 153: Silva vs Bonnar,2012-11-10,Heavyweight,Antonio Rodrigo Nogueira,Dave Herman,Antonio Rodrigo Nogueira,SUBArmbar,2,4:31,http://ufcstats.com/fight-details/dba1add63d4bcbaa,http://ufcstats.com/event-details/96d173b7f92aa520,SUB,1048.8163896440547,983.2939998708518,1065.6903564034562,966.4200331114504
UFC 153: Silva vs Bonnar,2012-11-10,Light Heavyweight,Glover Teixeira,Fabio Maldonado,Glover Teixeira,KO/TKO,2,5:00,http://ufcstats.com/fight-details/778d3f5c4bcc2927,http://ufcstats.com/event-details/96d173b7f92aa520,KO,1024.5069453244128,985.6483785934385,1043.7539049778266,966.4014189400247
UFC 153: Silva vs Bonnar,2012-11-10,Welterweight,Jon Fitch,Erick Silva,Jon Fitch,U-DEC,3,5:00,http://ufcstats.com/fight-details/034ce0af4dedbfd7,http://ufcstats.com/event-details/96d173b7f92aa520,DEC,1157.3662908825404,1024.6280280179585,1167.54583303993,1014.4484858605691
UFC 153: Silva vs Bonnar,2012-11-10,Light Heavyweight,Phil Davis,Wagner Prado,Phil Davis,SUBAnaconda Choke,2,4:29,http://ufcstats.com/fight-details/4c9cb823fd7e3e2c,http://ufcstats.com/event-details/96d173b7f92aa520,SUB,1079.0132296314353,1000.0,1094.7544597914773,984.258769839958
UFC 153: Silva vs Bonnar,2012-11-10,Lightweight,Cristiano Marcello,Reza Madadi,Cristiano Marcello,S-DEC,3,5:00,http://ufcstats.com/fight-details/e3072951bb030826,http://ufcstats.com/event-details/96d173b7f92aa520,DEC,977.0,1023.0,1001.1942580832404,998.8057419167596
UFC 153: Silva vs Bonnar,2012-11-10,Featherweight,Rony Jason,Sam Sicilia,Rony Jason,KO/TKOPunch,2,4:16,http://ufcstats.com/fight-details/dab5e3680cf6eac7,http://ufcstats.com/event-details/96d173b7f92aa520,KO,1020.0,1023.0,1043.302986697362,999.697013302638
UFC 153: Silva vs Bonnar,2012-11-10,Lightweight,Gleison Tibau,Francisco Trinaldo,Gleison Tibau,U-DEC,3,5:00,http://ufcstats.com/fight-details/297a3fe0edd6f1c5,http://ufcstats.com/event-details/96d173b7f92aa520,DEC,1068.402791672055,1021.0,1084.4616190371648,1004.94117263489
UFC 153: Silva vs Bonnar,2012-11-10,Featherweight,Diego Brandao,Joey Gambino,Diego Brandao,U-DEC,3,5:00,http://ufcstats.com/fight-details/eaa0355223b770dc,http://ufcstats.com/event-details/96d173b7f92aa520,DEC,1002.2923038221313,982.8778144920892,1020.6259553363004,964.5441629779202
UFC 153: Silva vs Bonnar,2012-11-10,Welterweight,Sergio Moraes,Renee Forte,Sergio Moraes,SUBRear Naked Choke,3,3:10,http://ufcstats.com/fight-details/5ab7629e07da22e6,http://ufcstats.com/event-details/96d173b7f92aa520,SUB,980.0,1000.0,1005.0522017172157,974.9477982827843
UFC 153: Silva vs Bonnar,2012-11-10,Middleweight,Chris Camozzi,Luiz Cane,Chris Camozzi,U-DEC,3,5:00,http://ufcstats.com/fight-details/d9df78e82953bfe5,http://ufcstats.com/event-details/96d173b7f92aa520,DEC,1040.936056515596,1000.1685118912293,1057.5198259906726,983.5847424161526
UFC 153: Silva vs Bonnar,2012-11-10,Welterweight,Demian Maia,Rick Story,Demian Maia,SUBRear Naked Choke,1,2:30,http://ufcstats.com/fight-details/219610bc6e7d9196,http://ufcstats.com/event-details/96d173b7f92aa520,SUB,1098.027567265522,1077.846190690031,1117.210288875958,1058.6634690795952
UFC Macao: Franklin vs Le,2012-11-17,Middleweight,Cung Le,Rich Franklin,Cung Le,KO/TKOPunch,1,2:17,http://ufcstats.com/fight-details/1a113ac3255f3ac3,http://ufcstats.com/event-details/319fa1bd3176bded,KO,996.6592570820886,1109.811092571513,1028.9522292667639,1077.5181203868376
UFC Macao: Franklin vs Le,2012-11-17,Lightweight,Takanori Gomi,Mac Danzig,Takanori Gomi,S-DEC,3,5:00,http://ufcstats.com/fight-details/0fad42b9ab3f31be,http://ufcstats.com/event-details/319fa1bd3176bded,DEC,1006.9871443260525,1012.1447056202857,1027.4410391502417,991.6908107960965
UFC Macao: Franklin vs Le,2012-11-17,Lightweight,Jon Tuck,Zhang Tiequan,Jon Tuck,U-DEC,3,5:00,http://ufcstats.com/fight-details/8d556e2826924946,http://ufcstats.com/event-details/319fa1bd3176bded,DEC,1000.0,976.2518308205276,1017.9712473119791,958.2805835085485
UFC Macao: Franklin vs Le,2012-11-17,Welterweight,Dong Hyun Kim,Paulo Thiago,Dong Hyun Kim,U-DEC,3,5:00,http://ufcstats.com/fight-details/dd875196c446fdf0,http://ufcstats.com/event-details/319fa1bd3176bded,DEC,1066.6754395965686,1022.6541244404118,1083.0006434672798,1006.3289205697006
UFC Macao: Franklin vs Le,2012-11-17,Bantamweight,Alex Caceres,Motonobu Tezuka,Alex Caceres,S-DEC,3,5:00,http://ufcstats.com/fight-details/01993fb1d4b34b21,http://ufcstats.com/event-details/319fa1bd3176bded,DEC,982.740785073422,1000.0,1004.2769652969615,978.4638197764605
UFC Macao: Franklin vs Le,2012-11-17,Middleweight,Riki Fukuda,Tom DeBlass,Riki Fukuda,U-DEC,3,5:00,http://ufcstats.com/fight-details/dd440cb166329a82,http://ufcstats.com/event-details/319fa1bd3176bded,DEC,981.1369098064389,978.94352064057,1000.9452635847282,959.1351668622807
UFC Macao: Franklin vs Le,2012-11-17,Bantamweight,Takeya Mizugaki,Jeff Hougland,Takeya Mizugaki,U-DEC,3,5:00,http://ufcstats.com/fight-details/e881ba0a28fffb6e,http://ufcstats.com/event-details/319fa1bd3176bded,DEC,1000.8653182515089,1000.356355764376,1020.8207735294969,980.400900486388
UFC Macao: Franklin vs Le,2012-11-17,Flyweight,John Lineker,Yasuhiro Urushitani,John Lineker,U-DEC,3,5:00,http://ufcstats.com/fight-details/b79a0b9c1f729c0d,http://ufcstats.com/event-details/319fa1bd3176bded,DEC,974.6336833192211,980.700311596496,995.168047464008,960.165947451709
UFC 154: St-Pierre vs Condit,2012-12-08,Featherweight,Darren Elkins,Steven Siler,Darren Elkins,U-DEC,3,5:00,http://ufcstats.com/fight-details/e843a7a6f49db3bb,http://ufcstats.com/event-details/d41937647eae9a34,DEC,1054.6933981071552,1061.3756054423618,1075.2823307592032,1040.7866727903138
UFC 154: St-Pierre vs Condit,2012-12-08,Welterweight,Georges St-Pierre,Carlos Condit,Georges St-Pierre,U-DEC,5,5:00,http://ufcstats.com/fight-details/8d12287f672cabd8,http://ufcstats.com/event-details/d41937647eae9a34,DEC,1246.7575579513095,1101.4043480632888,1256.21082581218,1091.9510802024183
UFC 154: St-Pierre vs Condit,2012-12-08,Welterweight,Johny Hendricks,Martin Kampmann,Johny Hendricks,KO/TKOPunch,1,0:46,http://ufcstats.com/fight-details/4a29c1f671bd89cb,http://ufcstats.com/event-details/d41937647eae9a34,KO,1147.5997354421886,1121.4844782712898,1166.2633075467554,1102.820906166723
UFC 154: St-Pierre vs Condit,2012-12-08,Middleweight,Francis Carmont,Tom Lawlor,Francis Carmont,S-DEC,3,5:00,http://ufcstats.com/fight-details/4861212df08bbf77,http://ufcstats.com/event-details/d41937647eae9a34,DEC,1061.582881585995,1012.5915803968912,1077.5174031859258,996.6570587969604
UFC 154: St-Pierre vs Condit,2012-12-08,Featherweight,Pablo Garza,Mark Hominick,Pablo Garza,U-DEC,3,5:00,http://ufcstats.com/fight-details/bc3323f172832a53,http://ufcstats.com/event-details/d41937647eae9a34,DEC,993.490354077294,992.8289613117461,1013.4324772838474,972.8868381051926
UFC 154: St-Pierre vs Condit,2012-12-08,Lightweight,Rafael Dos Anjos,Mark Bocek,Rafael Dos Anjos,U-DEC,3,5:00,http://ufcstats.com/fight-details/a65cf6951e097273,http://ufcstats.com/event-details/d41937647eae9a34,DEC,1061.008757679438,1062.2527710932704,1081.1178225716915,1042.143706201017
UFC 154: St-Pierre vs Condit,2012-12-08,Light Heavyweight,Cyrille Diabate,Chad Griggs,Cyrille Diabate,SUBRear Naked Choke,1,2:24,http://ufcstats.com/fight-details/1f7c1c741b06a3ed,http://ufcstats.com/event-details/d41937647eae9a34,SUB,1009.1285044913617,984.6167180038145,1027.931657403125,965.8135650920511
UFC 154: St-Pierre vs Condit,2012-12-08,Lightweight,John Makdessi,Sam Stout,John Makdessi,U-DEC,3,5:00,http://ufcstats.com/fight-details/467d2dc6a71e1b00,http://ufcstats.com/event-details/d41937647eae9a34,DEC,992.7844473155099,1042.5595356538454,1017.3360189978154,1018.0079639715399
UFC 154: St-Pierre vs Condit,2012-12-08,Featherweight,Antonio Carvalho,Rodrigo Damm,Antonio Carvalho,S-DEC,3,5:00,http://ufcstats.com/fight-details/f6d8bdc3cdcf1dd8,http://ufcstats.com/event-details/d41937647eae9a34,DEC,1002.7163291292557,1021.0,1024.3451999846443,999.3711291446112
UFC 154: St-Pierre vs Condit,2012-12-08,Welterweight,Matthew Riddle,John Maguire,Matthew Riddle,U-DEC,3,5:00,http://ufcstats.com/fight-details/30ebe705eac7b121,http://ufcstats.com/event-details/d41937647eae9a34,DEC,1036.7671412973807,1026.7545266715442,1055.8992040345993,1007.6224639343258
UFC 154: St-Pierre vs Condit,2012-12-08,Bantamweight,Ivan Menjivar,Azamat Gashimov,Ivan Menjivar,SUBArmbar,1,2:44,http://ufcstats.com/fight-details/9b6806203bc4875a,http://ufcstats.com/event-details/d41937647eae9a34,SUB,1025.2946001846117,1000.0,1044.0295440932866,981.265056091325
UFC 154: St-Pierre vs Condit,2012-12-08,Middleweight,Patrick Cote,Alessio Sakara,Patrick Cote,DQ,1,1:26,http://ufcstats.com/fight-details/72a3ec0672871ab4,http://ufcstats.com/event-details/d41937647eae9a34,DEC,957.8419548386802,1006.6300970445303,982.2999446832013,982.1721072000092
UFC on FOX: Henderson vs Diaz,2012-12-14,Welterweight,Matt Brown,Mike Swick,Matt Brown,KO/TKOPunches,2,2:31,http://ufcstats.com/fight-details/405cbbcaa79db24b,http://ufcstats.com/event-details/d1e6a6536ee62517,KO,1050.5673103074096,1098.540860792087,1078.605275260435,1070.5028958390615
UFC on FOX: Henderson vs Diaz,2012-12-14,Lightweight,Benson Henderson,Nate Diaz,Benson Henderson,U-DEC,5,5:00,http://ufcstats.com/fight-details/bc72dac46f0383f1,http://ufcstats.com/event-details/d1e6a6536ee62517,DEC,1131.3993290468181,1111.7385371336582,1149.7122871924935,1093.4255789879828
UFC on FOX: Henderson vs Diaz,2012-12-14,Light Heavyweight,Alexander Gustafsson,Mauricio Rua,Alexander Gustafsson,U-DEC,3,5:00,http://ufcstats.com/fight-details/3b1aed7d00a775c6,http://ufcstats.com/event-details/d1e6a6536ee62517,DEC,1113.6524309594133,1076.756799701029,1130.5467298795345,1059.8625007809078
UFC on FOX: Henderson vs Diaz,2012-12-14,Welterweight,Rory MacDonald,BJ Penn,Rory MacDonald,U-DEC,3,5:00,http://ufcstats.com/fight-details/2adfc6444d1adc01,http://ufcstats.com/event-details/d1e6a6536ee62517,DEC,1067.992391786786,1110.5000715349324,1091.85767104853,1086.6347922731884
UFC on FOX: Henderson vs Diaz,2012-12-14,Lightweight,Yves Edwards,Jeremy Stephens,Yves Edwards,KO/TKOPunch,1,1:55,http://ufcstats.com/fight-details/9caaca5748ea9086,http://ufcstats.com/event-details/d1e6a6536ee62517,KO,1033.0070139986233,1014.0926722265017,1052.3015067661936,994.7981794589314
UFC on FOX: Henderson vs Diaz,2012-12-14,Featherweight,Dennis Siver,Nam Phan,Dennis Siver,U-DEC,3,5:00,http://ufcstats.com/fight-details/41d1e163b930426b,http://ufcstats.com/event-details/d1e6a6536ee62517,DEC,1095.4299318010924,989.3904552632081,1107.269205907092,977.5511811572084
UFC on FOX: Henderson vs Diaz,2012-12-14,Lightweight,Ramsey Nijem,Joe Proctor,Ramsey Nijem,U-DEC,3,5:00,http://ufcstats.com/fight-details/b57345c34f6d2ab3,http://ufcstats.com/event-details/d1e6a6536ee62517,DEC,1020.4466897360734,1021.0,1040.4951665514895,1000.9515231845837
UFC on FOX: Henderson vs Diaz,2012-12-14,Lightweight,Daron Cruickshank,Henry Martinez,Daron Cruickshank,KO/TKOKick,2,2:57,http://ufcstats.com/fight-details/5c36d760c7e272f5,http://ufcstats.com/event-details/d1e6a6536ee62517,KO,1020.0,1001.4384166307872,1041.166208058055,980.2722085727322
UFC on FOX: Henderson vs Diaz,2012-12-14,Lightweight,Abel Trujillo,Marcus LeVesseur,Abel Trujillo,KO/TKOKnees,2,3:56,http://ufcstats.com/fight-details/ed8944898353b526,http://ufcstats.com/event-details/d1e6a6536ee62517,KO,1000.0,998.9698959397972,1022.8963747872243,976.0735211525729
UFC on FOX: Henderson vs Diaz,2012-12-14,Bantamweight,Scott Jorgensen,John Albert,Scott Jorgensen,SUBRear Naked Choke,1,4:59,http://ufcstats.com/fight-details/f0cf2ca8e5c621a8,http://ufcstats.com/event-details/d1e6a6536ee62517,SUB,988.8982703103567,979.3391684216365,1009.0278073906933,959.2096313412999
UFC on FOX: Henderson vs Diaz,2012-12-14,Bantamweight,Raphael Assuncao,Mike Easton,Raphael Assuncao,U-DEC,3,5:00,http://ufcstats.com/fight-details/b3e520f1092401c1,http://ufcstats.com/event-details/d1e6a6536ee62517,DEC,1026.1411422481913,1061.444527019782,1049.3327524373099,1038.2529168306635
UFC on FX: Sotiropoulos vs Pearson,2012-12-15,Welterweight,Robert Whittaker,Brad Scott,Robert Whittaker,U-DEC,3,5:00,http://ufcstats.com/fight-details/d6b3c56a4cf14c1a,http://ufcstats.com/event-details/e8c170a64dc920ac,DEC,1000.0,1000.0,1020.0,980.0
UFC on FX: Sotiropoulos vs Pearson,2012-12-15,Lightweight,Ross Pearson,George Sotiropoulos,Ross Pearson,KO/TKOPunch,3,0:41,http://ufcstats.com/fight-details/e2bacdc395aa7b40,http://ufcstats.com/event-details/e8c170a64dc920ac,KO,1024.6360842335155,1079.264516281309,1053.4015368571195,1050.499063657705
UFC on FX: Sotiropoulos vs Pearson,2012-12-15,Middleweight,Hector Lombard,Rousimar Palhares,Hector Lombard,KO/TKOPunches,1,3:38,http://ufcstats.com/fight-details/6834ae686aa0c588,http://ufcstats.com/event-details/e8c170a64dc920ac,KO,986.1108926818814,1072.953013122963,1015.6586156133181,1043.4052901915263
UFC on FX: Sotiropoulos vs Pearson,2012-12-15,Lightweight,Norman Parke,Colin Fletcher,Norman Parke,U-DEC,3,5:00,http://ufcstats.com/fight-details/ddf2eff896475431,http://ufcstats.com/event-details/e8c170a64dc920ac,DEC,1000.0,1000.0,1020.0,980.0
UFC on FX: Sotiropoulos vs Pearson,2012-12-15,Welterweight,Mike Pierce,Seth Baczynski,Mike Pierce,U-DEC,3,5:00,http://ufcstats.com/fight-details/d4c85298623130de,http://ufcstats.com/event-details/e8c170a64dc920ac,DEC,1088.5672258613442,1068.5933832988383,1106.8538993898133,1050.3067097703693
UFC on FX: Sotiropoulos vs Pearson,2012-12-15,Light Heavyweight,Cody Donovan,Nick Penner,Cody Donovan,KO/TKOPunch,1,4:35,http://ufcstats.com/fight-details/4eda704823ccfb71,http://ufcstats.com/event-details/e8c170a64dc920ac,KO,1000.0,978.6221361392907,1019.0774688481436,959.5446672911471
UFC on FX: Sotiropoulos vs Pearson,2012-12-15,Welterweight,Ben Alloway,Manuel Rodriguez,Ben Alloway,KO/TKOKick,1,4:57,http://ufcstats.com/fight-details/e57b884785848624,http://ufcstats.com/event-details/e8c170a64dc920ac,KO,1000.0,1000.0,1021.0,979.0
UFC on FX: Sotiropoulos vs Pearson,2012-12-15,Lightweight,Mike Wilkinson,Brendan Loughnane,Mike Wilkinson,U-DEC,3,5:00,http://ufcstats.com/fight-details/f82c414666fe934c,http://ufcstats.com/event-details/e8c170a64dc920ac,DEC,1000.0,1000.0,1020.0,980.0
UFC on FX: Sotiropoulos vs Pearson,2012-12-15,Featherweight,Chad Mendes,Yaotzin Meza,Chad Mendes,KO/TKOPunch,1,1:55,http://ufcstats.com/fight-details/a6097fd4e77cb881,http://ufcstats.com/event-details/e8c170a64dc920ac,KO,1036.9388329059204,1000.0,1054.6741909865952,982.2646419193253
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Heavyweight,Roy Nelson,Matt Mitrione,Roy Nelson,KO/TKOPunch,1,2:58,http://ufcstats.com/fight-details/5bcc7204a43cf34e,http://ufcstats.com/event-details/c6da1c24fe473418,KO,1033.5952445501184,1072.5210395332085,1058.3012024221657,1047.8150816611612
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Welterweight,Colton Smith,Mike Ricci,Colton Smith,U-DEC,3,5:00,http://ufcstats.com/fight-details/99c12cc04b4261bf,http://ufcstats.com/event-details/c6da1c24fe473418,DEC,1000.0,1000.0,1020.0,980.0
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Heavyweight,Pat Barry,Shane del Rosario,Pat Barry,KO/TKOPunch,2,0:26,http://ufcstats.com/fight-details/cade8a4e97911e89,http://ufcstats.com/event-details/c6da1c24fe473418,KO,985.2729383867833,981.1104364253284,1007.8555108608921,958.5278639512196
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Featherweight,Dustin Poirier,Jonathan Brookins,Dustin Poirier,SUBD'Arce Choke,1,4:15,http://ufcstats.com/fight-details/e88c59ad88e9dc27,http://ufcstats.com/event-details/c6da1c24fe473418,SUB,1050.9859981664895,999.7965907265319,1067.5375614299987,983.2450274630228
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Welterweight,Mike Pyle,James Head,Mike Pyle,KO/TKOKnee,1,1:55,http://ufcstats.com/fight-details/1d20bba4aca5f81a,http://ufcstats.com/event-details/c6da1c24fe473418,KO,1064.8831753946208,1028.6860435120577,1082.6813525912576,1010.8878663154211
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Lightweight,Rustam Khabilov,Vinc Pichel,Rustam Khabilov,KO/TKOSlam,1,2:15,http://ufcstats.com/fight-details/12d17a837caeae63,http://ufcstats.com/event-details/c6da1c24fe473418,KO,1000.0,1000.0,1021.0,979.0
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Welterweight,TJ Waldburger,Nick Catone,TJ Waldburger,SUBTriangle Choke,2,1:04,http://ufcstats.com/fight-details/6b83234360b3ca62,http://ufcstats.com/event-details/c6da1c24fe473418,SUB,1026.4387587880562,997.0444895640733,1046.5689977721677,976.9142505799618
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Bantamweight,Hugo Viana,Reuben Duran,Hugo Viana,KO/TKOPunch,1,4:05,http://ufcstats.com/fight-details/6463a48c9347a9f3,http://ufcstats.com/event-details/c6da1c24fe473418,KO,1020.0,1005.0522017172157,1039.6464589706552,985.4057427465606
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Lightweight,Mike Rio,John Cofer,Mike Rio,SUBArmbar,3,4:11,http://ufcstats.com/fight-details/8935fc5943a78c20,http://ufcstats.com/event-details/c6da1c24fe473418,SUB,1000.0,977.0,1020.7385884434103,956.2614115565897
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Flyweight,Tim Elliott,Jared Papazian,Tim Elliott,U-DEC,3,5:00,http://ufcstats.com/fight-details/b43c83505edcd8fa,http://ufcstats.com/event-details/c6da1c24fe473418,DEC,981.7993545033512,960.6929079629108,999.9910875621691,942.5011749040929
The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,2012-12-29,Bantamweight,Johnny Bedford,Marcos Vinicius,Johnny Bedford,KO/TKOPunch,2,1:00,http://ufcstats.com/fight-details/452a9728317893d7,http://ufcstats.com/event-details/c6da1c24fe473418,KO,1023.0,1023.0,1046.0,1000.0
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Middleweight,Yushin Okami,Alan Belcher,Yushin Okami,U-DEC,3,5:00,http://ufcstats.com/fight-details/23cdc3ef525ba8e4,http://ufcstats.com/event-details/c6e6926a81adcd00,DEC,1111.1311677358997,1104.4298115780493,1130.5482910150333,1085.0126882989157
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Heavyweight,Cain Velasquez,Junior Dos Santos,Cain Velasquez,U-DEC,5,5:00,http://ufcstats.com/fight-details/02a373f6503b3530,http://ufcstats.com/event-details/c6e6926a81adcd00,DEC,1126.640361106051,1171.7294623098007,1150.7486643181905,1147.6211590976611
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Lightweight,Jim Miller,Joe Lauzon,Jim Miller,U-DEC,3,5:00,http://ufcstats.com/fight-details/5d7a720a2e2f4749,http://ufcstats.com/event-details/c6e6926a81adcd00,DEC,1102.7865840074437,1083.6372009012987,1121.142521581096,1065.2812633276465
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Middleweight,Constantinos Philippou,Tim Boetsch,Constantinos Philippou,KO/TKOPunches,3,2:11,http://ufcstats.com/fight-details/526790a5b3c4b5a2,http://ufcstats.com/event-details/c6e6926a81adcd00,KO,1065.4325075200773,1090.1023259598062,1090.9743344001056,1064.5604990797779
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Middleweight,Derek Brunson,Chris Leben,Derek Brunson,U-DEC,3,5:00,http://ufcstats.com/fight-details/bab948352454f302,http://ufcstats.com/event-details/c6e6926a81adcd00,DEC,1000.0,1048.0925264090267,1024.3921023942526,1023.7004240147743
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Flyweight,John Moraga,Chris Cariaso,John Moraga,SUBGuillotine Choke,3,1:11,http://ufcstats.com/fight-details/fc9ec3a01d0129b6,http://ufcstats.com/event-details/c6e6926a81adcd00,SUB,1021.0,1053.5703910251043,1047.3785541241598,1027.1918369009445
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Bantamweight,Erik Perez,Byron Bloodworth,Erik Perez,KO/TKOPunches,1,3:50,http://ufcstats.com/fight-details/ea9059fd076a2f1e,http://ufcstats.com/event-details/c6e6926a81adcd00,KO,1041.9492551884514,977.0,1057.4007993136795,961.5484558747718
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Lightweight,Jamie Varner,Melvin Guillard,Jamie Varner,S-DEC,3,5:00,http://ufcstats.com/fight-details/0d4927585d0480fc,http://ufcstats.com/event-details/c6e6926a81adcd00,DEC,1011.7290865794316,1058.3192383081446,1035.9790878982485,1034.0692369893277
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Lightweight,Myles Jury,Michael Johnson,Myles Jury,U-DEC,3,5:00,http://ufcstats.com/fight-details/85f67de8e9dc5689,http://ufcstats.com/event-details/c6e6926a81adcd00,DEC,1021.0,1055.3110500075163,1044.0993610801809,1032.2116889273354
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Heavyweight,Todd Duffee,Philip De Fries,Todd Duffee,KO/TKOPunches,1,2:04,http://ufcstats.com/fight-details/84500d5c1aba97a2,http://ufcstats.com/event-details/c6e6926a81adcd00,KO,1000.0306329205841,1020.3615398560772,1022.9359468889292,997.4562258877322
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Featherweight,Max Holloway,Leonard Garcia,Max Holloway,S-DEC,3,5:00,http://ufcstats.com/fight-details/a551d93167533459,http://ufcstats.com/event-details/c6e6926a81adcd00,DEC,1028.782023061786,940.0724312913351,1041.7874565495456,927.0669978035755
UFC 155: Dos Santos vs Velasquez II,2013-01-19,Bantamweight,Eddie Wineland,Brad Pickett,Eddie Wineland,S-DEC,3,5:00,http://ufcstats.com/fight-details/5a65ffe3842ce2f2,http://ufcstats.com/event-details/c6e6926a81adcd00,DEC,992.2057929176765,1028.4425275364943,1015.4842910748109,1005.1640293793598
UFC on FX: Belfort vs Bisping,2013-01-26,Lightweight,Khabib Nurmagomedov,Thiago Tavares,Khabib Nurmagomedov,KO/TKOElbows,1,1:55,http://ufcstats.com/fight-details/7651b2e09ea2c420,http://ufcstats.com/event-details/56f4b81ec4db61af,KO,1048.6540088175589,1053.2490029826288,1070.078383696375,1031.8246281038125
UFC on FX: Belfort vs Bisping,2013-01-26,Middleweight,Vitor Belfort,Michael Bisping,Vitor Belfort,KO/TKOKick,2,1:27,http://ufcstats.com/fight-details/b51d691b9f5603a8,http://ufcstats.com/event-details/56f4b81ec4db61af,KO,1095.1643261710683,1118.374086074843,1120.5526639728894,1092.985748273022
UFC on FX: Belfort vs Bisping,2013-01-26,Middleweight,CB Dollaway,Daniel Sarafian,CB Dollaway,S-DEC,3,5:00,http://ufcstats.com/fight-details/4d231d5d5f815085,http://ufcstats.com/event-details/56f4b81ec4db61af,DEC,1024.6615481669457,1000.0,1042.5568758146287,982.104672352317
UFC on FX: Belfort vs Bisping,2013-01-26,Featherweight,Godofredo Pepey,Milton Vieira,Godofredo Pepey,S-DEC,3,5:00,http://ufcstats.com/fight-details/8f426040f746905d,http://ufcstats.com/event-details/56f4b81ec4db61af,DEC,980.0,1000.0,1001.7845232323615,978.2154767676385
UFC on FX: Belfort vs Bisping,2013-01-26,Heavyweight,Gabriel Gonzaga,Ben Rothwell,Gabriel Gonzaga,SUBGuillotine Choke,2,1:01,http://ufcstats.com/fight-details/2eeb1656692bd967,http://ufcstats.com/event-details/56f4b81ec4db61af,SUB,1037.8547747509842,1010.8476479132319,1058.2110493395044,990.4913733247116
UFC on FX: Belfort vs Bisping,2013-01-26,Featherweight,Nik Lentz,Diego Nunes,Nik Lentz,U-DEC,3,5:00,http://ufcstats.com/fight-details/302ce74d8b0d12a6,http://ufcstats.com/event-details/56f4b81ec4db61af,DEC,1058.7309213149074,1027.0343297402637,1076.0469769517517,1009.7182741034194
UFC on FX: Belfort vs Bisping,2013-01-26,Light Heavyweight,Ildemar Alcantara,Wagner Prado,Ildemar Alcantara,SUBKneebar,2,2:39,http://ufcstats.com/fight-details/c7ad34973f9d1cf6,http://ufcstats.com/event-details/56f4b81ec4db61af,SUB,1000.0,984.258769839958,1021.4401693444611,962.8186004954969
UFC on FX: Belfort vs Bisping,2013-01-26,Middleweight,Ronny Markes,Andrew Craig,Ronny Markes,U-DEC,3,5:00,http://ufcstats.com/fight-details/dff7ce155b47442c,http://ufcstats.com/event-details/56f4b81ec4db61af,DEC,1044.4627392716702,1046.515561369325,1064.6428563670763,1026.335444273919
UFC on FX: Belfort vs Bisping,2013-01-26,Lightweight,Francisco Trinaldo,CJ Keith,Francisco Trinaldo,SUBArm Triangle,2,1:50,http://ufcstats.com/fight-details/f4273b2155fe20fe,http://ufcstats.com/event-details/56f4b81ec4db61af,SUB,1004.94117263489,978.9439390386806,1025.3934604550095,958.491651218561
UFC on FX: Belfort vs Bisping,2013-01-26,Lightweight,Edson Barboza,Lucas Martins,Edson Barboza,KO/TKOPunches,1,2:38,http://ufcstats.com/fight-details/470f6fdd47f671fd,http://ufcstats.com/event-details/56f4b81ec4db61af,KO,1055.619322445123,1000.0,1071.8120486478997,983.8072737972235
UFC on FOX: Johnson vs Dodson,2013-02-02,Flyweight,Demetrious Johnson,John Dodson,Demetrious Johnson,U-DEC,5,5:00,http://ufcstats.com/fight-details/9b9591a4f7febe32,http://ufcstats.com/event-details/738acab0c6934dd8,DEC,1058.6544237656033,1058.4160708181917,1078.6335573862966,1038.4369371974983
