Fighter,Elo,Last_Fight,Weight Class,Is_Champion,Title_Defenses,Is_Former_Champion,Status,Record
Jasmine Jasudavicius,1092.2301138379903,2025-10-18,Women's Flyweight,False,0,False,,8-3-0
Vinicius Oliveira,1090.6976004766914,2025-07-19,Bantamweight,False,0,False,,4-0-0
Martin Buday,1090.3319520529192,2025-07-26,Heavyweight,False,0,False,,7-1-0
Marcin Tybura,1089.4146079605305,2025-09-06,Heavyweight,False,0,False,,14-9-0
Chris Gutierrez,1088.9690308211689,2025-10-04,Bantamweight,False,0,False,,10-4-1
Jacqueline Cavalcanti,1088.9289123887872,2025-11-08,Women's Bantamweight,False,0,False,,5-0-0
HyunSung Park,1088.3552412332585,2025-10-18,Flyweight,False,0,True,Former Champion,3-2-0
Nasrat Haqparast,1087.4753407584965,2025-10-25,Lightweight,False,0,False,,10-5-0
Marlon Vera,1085.5523588981678,2025-10-18,Bantamweight,False,0,False,,15-10-0
Brandon Moreno,1084.5714917652283,2025-03-29,Flyweight,False,0,True,Former Champion,11-5-2
Denise Gomes,1084.3479231950098,2025-11-08,Women's Strawweight,False,0,False,,6-2-0
Ludovit Klein,1084.2798403519253,2025-10-25,Lightweight,False,0,False,,8-3-1
Israel Adesanya,1084.016748146988,2025-02-01,Middleweight,False,0,True,Former Champion,13-5-0
Rob Font,1082.77952452562,2025-09-13,Bantamweight,False,0,False,,12-8-0
Virna Jandiroba,1082.3170412589382,2025-10-25,Women's Strawweight,False,0,False,,8-4-0
Reinier de Ridder,1081.8582948836859,2025-10-18,Middleweight,False,0,False,,4-1-0
Jean Silva,1081.01934000328,2025-09-13,Featherweight,False,0,False,,5-1-0
Muslim Salikhov,1080.9674694477667,2025-11-08,Welterweight,False,0,False,,9-5-0
Alexander Hernandez,1080.645003420624,2025-09-13,Lightweight,False,0,False,,10-7-0
Christian Leroy Duncan,1080.5077945450134,2025-11-08,Middleweight,False,0,False,,6-2-0
Renato Moicano,1080.4625872688964,2025-06-28,Lightweight,False,0,False,,12-7-0
Mairon Santos,1080.4024849426194,2025-05-17,Lightweight,False,0,True,Former Champion,3-0-0
Brian Ortega,1079.0754480208423,2025-08-23,Catch Weight,False,0,False,,8-5-1
Tabatha Ricci,1078.4663808841274,2025-07-26,Women's Strawweight,False,0,False,,7-3-0
Jared Cannonier,1078.1391764402908,2025-08-16,Middleweight,False,0,False,,11-9-0
Chris Duncan,1077.5799428485825,2025-08-02,Lightweight,False,0,False,,5-1-0
Ikram Aliskerov,1077.0821276622096,2025-10-25,Middleweight,False,0,False,,4-1-0
Chepe Mariscal,1076.9503698672195,2025-11-15,Featherweight,False,0,False,,5-1-0
Dominick Reyes,1076.3090788932943,2025-09-27,Light Heavyweight,False,0,False,,9-5-0
JunYong Park,1076.1851801362882,2025-10-25,Middleweight,False,0,False,,9-4-0
Cody Garbrandt,1075.6225523265791,2025-06-14,Bantamweight,False,0,True,Former Champion,9-7-0
Daniel Marcos,1075.338801047007,2025-11-08,Bantamweight,False,0,False,,5-1-1
