Fighter,Peak Elo,Weight Class,Record
Joseph Morales,1119.2406680152976,Flyweight,3-2-0
Ryan Loder,1119.204,Middleweight,1-1-0
Anshul Jubli,1119.204,Lightweight,1-2-0
Glaico Franca Moreira,1119.204,Lightweight,1-2-0
Davi Ramos,1119.012913231026,Lightweight,4-3-0
Ronaldo Rodriguez,1118.7900318991535,Flyweight,2-1-0
Jacob Volkmann,1118.6345796993824,Lightweight,6-4-0
Jan Blachowicz,1118.5695208758355,Light Heavyweight,12-8-1
Miguel Baeza,1118.0731271220623,Welterweight,3-4-0
Paddy Holohan,1117.9937935929252,Flyweight,3-2-0
Danilo Marques,1117.6794356522869,Light Heavyweight,2-2-0
Renato Sobral,1117.6298657441287,Light Heavyweight,6-4-0
Elijah Smith,1117.2071877776616,Bantamweight,2-0-0
DongHun Choi,1116.7092,Flyweight,1-0-0
Kazushi Sakuraba,1116.7092,Heavyweight,1-0-1
Daniil Donchenko,1116.7092,Welterweight,1-0-0
James Wilks,1116.7092,Welterweight,2-2-0
Christian Rodriguez,1116.464787894461,Featherweight,5-4-0
Junior Dos Santos,1115.8004048701575,Heavyweight,15-8-0
Reginaldo Vieira,1115.64,Bantamweight,1-2-0
Erick Montano,1115.64,Welterweight,1-2-0
Timur Valiev,1115.4880044691793,Bantamweight,2-1-1
Ben Askren,1115.370080975002,Welterweight,1-2-0
Manon Fiorot,1114.9161175400943,Women's Flyweight,8-1-0
Carlston Harris,1114.4483407774092,Welterweight,4-3-0
Jimmy Crute,1114.2858500521259,Light Heavyweight,6-4-2
Rafa Garcia,1114.1833945521296,Lightweight,6-4-0
Erin Blanchfield,1113.8964127203676,Women's Flyweight,8-1-0
Marco Beltran,1113.8362182735457,Flyweight,3-3-0
Ali Bagautinov,1113.6159364394127,Flyweight,4-3-0
Mark Hominick,1113.2831797723295,Featherweight,3-4-0
Morgan Charriere,1113.1026607665497,Featherweight,3-2-0
Din Thomas,1113.0978193924443,Lightweight,5-4-0
Dooho Choi,1112.741802638065,Featherweight,5-3-1
Uros Medic,1112.5815355655643,Welterweight,6-3-0
Gavin Tucker,1112.2678925962844,Featherweight,4-3-0
Luke Barnatt,1112.1790801807274,Middleweight,3-3-0
Modestas Bukauskas,1112.1629581911145,Light Heavyweight,7-4-0
Elves Brener,1112.1199004471991,Lightweight,3-3-0
Ante Delija,1111.8992984881652,Heavyweight,1-1-0
Rony Jason,1111.8838274723987,Featherweight,4-4-1
Kajan Johnson,1111.7712479174804,Lightweight,4-3-0
Krzysztof Soszynski,1111.7163814849123,Light Heavyweight,6-3-0
Cung Le,1111.6601912655265,Middleweight,2-2-0
Mike Easton,1111.3345622664249,Bantamweight,3-4-0
Caio Magalhaes,1111.2851456200503,Middleweight,4-3-0
Steve Erceg,1111.282868610893,Bantamweight,4-3-0
Mateusz Rebecki,1110.8268323312661,Lightweight,4-3-0
Joe Duffy,1110.380575306701,Lightweight,4-4-0
Tom Breese,1110.2050959443286,Middleweight,5-3-0
Sergey Khandozhko,1110.1941499169661,Welterweight,2-1-0
Abus Magomedov,1109.9868057037108,Middleweight,4-3-0
Tatiana Suarez,1109.9488863412325,Women's Strawweight,8-1-0
Cameron Saaiman,1109.6868904853475,Bantamweight,3-3-0
Jason Lambert,1109.5464881265896,Middleweight,4-4-0
Chance Rencountre,1109.281857699095,Welterweight,2-2-0
Diego Brandao,1109.17214914741,Featherweight,6-4-0
Marcus Brimage,1109.1073707919145,Bantamweight,4-4-0
Mitch Gagnon,1109.0741662776022,Bantamweight,4-4-0
Falaniko Vitale,1108.7605718361272,Middleweight,1-1-0
Phil Hawes,1108.5673491647485,Middleweight,4-4-0
Akira Corassani,1108.3677760328342,Featherweight,3-3-0
David Terrell,1108.286447244099,Middleweight,2-1-0
Bartosz Fabinski,1108.285353120638,Middleweight,3-3-0
Jake O'Brien,1108.202016712892,Light Heavyweight,4-3-0
Shonie Carter,1108.198734342484,Welterweight,3-3-0
Cam Rowston,1108.0791060800982,Middleweight,1-0-0
Jafel Filho,1107.8985299668445,Flyweight,3-2-0
Norma Dumont,1107.8954583620286,Women's Bantamweight,9-2-0
Khalid Murtazaliev,1107.7435254829193,Middleweight,1-0-0
Eliot Marshall,1107.6336470223566,Light Heavyweight,3-3-0
