Fighter,Peak Elo,Weight Class,Record
Rose Namajunas,1057.736970512767,Women's Flyweight,12-6-0
Lucio Linhares,1057.7291793015522,Middleweight,0-2-0
Cameron Else,1057.7269745313617,Bantamweight,0-2-0
Travis Wiuff,1057.7262987123938,Light Heavyweight,0-2-0
Michael Patt,1057.725559373669,Light Heavyweight,0-2-0
Carlos Mota,1057.7023705265526,Flyweight,0-1-0
Ryan Roberts,1057.6976163691388,Lightweight,0-1-0
David Levicki,1057.693404752491,Open Weight,0-1-0
Jeff Cox,1057.6846308344786,Lightweight,0-2-0
Nick Serra,1057.667366012249,Welterweight,0-1-0
Ryan Madigan,1057.6648689976328,Welterweight,0-1-0
Marcin Bandel,1057.6518094184078,Lightweight,0-2-0
Ashkan Mokhtarian,1057.6440262556364,Flyweight,0-2-0
Jose Maria,1057.6233503462445,Flyweight,0-2-0
Rick Davis,1057.617549727789,Lightweight,0-1-0
Luis Pajuelo,1057.5989784307963,Featherweight,0-1-0
CJ Keith,1057.5727289873498,Lightweight,0-2-0
Luke Cummo,1057.5470887732235,Welterweight,3-4-0
Satoshi Honma,1057.5318170026605,Heavyweight,0-1-0
Dakota Bush,1057.525206648547,Lightweight,0-2-0
TJ O'Brien,1057.5025122418886,Lightweight,0-2-0
Homer Moore,1057.4976045349724,Light Heavyweight,0-1-0
Nissen Osterneck,1057.4405762456431,Middleweight,0-1-0
Anthony Lapsley,1057.335447556707,Welterweight,0-2-0
Alex Andrade,1057.2371849978458,Middleweight,0-1-0
Tim Lajcik,1057.1989384451076,Heavyweight,0-2-1
Rob Wilkinson,1057.1935922134844,Middleweight,0-2-0
Khusein Askhabov,1057.1698273227803,Featherweight,0-1-0
Jordan Vucenic,1057.1373164315933,Lightweight,0-2-0
Nick Penner,1057.1363672942846,Light Heavyweight,0-2-0
Angel Pacheco,1057.1182390319025,Bantamweight,0-1-0
Maciej Jewtuszko,1057.113920421311,Lightweight,0-1-0
Ali AlQaisi,1057.1111138618787,Bantamweight,0-2-0
Motonobu Tezuka,1057.0852515515598,Bantamweight,0-2-0
John Matua,1057.0851168912309,Open Weight,0-1-0
Chris Wilson,1057.0416341266862,Welterweight,1-3-0
David Dodd,1057.03347337087,Middleweight,0-2-0
Vince Cachero,1057.0200482684945,Bantamweight,0-2-0
Braxton Smith,1057.0128088441345,Heavyweight,0-1-0
Guilherme Vasconcelos,1057.0054524876343,Middleweight,0-1-0
Nick Aguirre,1057.0039916470805,Bantamweight,0-2-0
Joe Veres,1056.9973869926166,Lightweight,0-2-0
Nick Roehrick,1056.942041116479,Light Heavyweight,0-1-0
Konstantin Erokhin,1056.9295553962527,Heavyweight,0-2-0
Jorge Lopez,1056.9295553962527,Welterweight,0-2-0
Domingo Pilarte,1056.9295553962527,Bantamweight,0-2-1
Ray Wizard,1056.9218536981869,Open Weight,0-1-0
Xavier Foupa-Pokam,1056.918204198268,Middleweight,0-2-0
Yuri Vaulin,1056.9048326898574,Lightweight,0-1-0
Ryan MacDonald,1056.894084499944,Bantamweight,0-2-0
Luke Caudillo,1056.8883063071187,Lightweight,0-2-0
Leonardo Guimaraes,1056.8851450724576,Middleweight,0-2-0
Roldan Sangcha'an,1056.8851450724576,Flyweight,0-2-0
Gerry Harris,1056.8678753904253,Open Weight,0-1-0
Nyamjargal Tumendemberel,1056.8442323324573,Flyweight,0-1-0
Mark Holst,1056.8287582581384,Lightweight,0-2-0
Preston Parsons,1056.7801503781393,Welterweight,2-4-0
Matt Lucas,1056.7690051797708,Light Heavyweight,0-1-0
Charalampos Grigoriou,1056.719100141048,Bantamweight,0-2-0
Samy Schiavo,1056.6666155794328,Lightweight,0-2-0
Anton Zafir,1056.655506249814,Welterweight,0-2-0
Solomon Hutcherson,1056.5856213290033,Middleweight,0-1-0
Gilbert Aldana,1056.583626880993,Heavyweight,0-2-0
Paul Herrera,1056.5591917872157,Open Weight,0-1-0
Carlos Barreto,1056.5493161923107,Heavyweight,0-1-0
Lewis Gonzalez,1056.520127769712,Welterweight,0-1-0
Kyle Stewart,1056.508570349421,Welterweight,0-2-0
Tony Petarra,1056.505296161223,Middleweight,0-1-0
Paul Georgieff,1056.485217194823,Welterweight,0-1-0
Josias Musasa,1056.4825570616833,Bantamweight,0-2-0
Scott Baker,1056.4608737780923,Open Weight,0-1-0
John Yannis,1056.448867043472,Featherweight,0-1-0
Allen Berube,1056.4352020246597,Lightweight,0-1-0
Brian Cobb,1056.430191027564,Lightweight,0-1-0
Scott Fiedler,1056.414801553689,Open Weight,0-1-0
Joshua Weems,1056.3915790788576,Bantamweight,0-1-0
Keith Mielke,1056.3810026611197,Open Weight,0-1-0
Wendell Oliveira Marques,1056.3468718105905,Welterweight,0-2-0
Eddie Mendez,1056.3421359639572,Middleweight,0-1-0
Joe Jordan,1056.3400150795906,Catch Weight,0-1-0
TJ Laramie,1056.3183773401768,Featherweight,0-2-0
Will Chope,1056.3154327607692,Featherweight,0-1-0
Paul Bradley,1056.3107334205838,Welterweight,0-2-0
Jackie Lee,1056.303779746028,Lightweight,0-1-0
Dieusel Berto,1056.2999010644246,Open Weight,0-1-0
Rob Yundt,1056.2981221003774,Middleweight,0-2-0
Charlie Valencia,1056.2551433124504,Bantamweight,0-1-0
Collin Anglin,1056.24,Featherweight,0-2-0
John Cofer,1056.24,Lightweight,0-2-0
Danillo Villefort,1056.24,Welterweight,0-1-0
Leo Kuntz,1056.24,Lightweight,0-2-0
Keigo Kunihara,1056.24,Heavyweight,0-1-0
Leigh Remedios,1056.24,Lightweight,0-1-0
Alexandre Dantas,1056.24,Heavyweight,0-2-0
Fabiano Scherner,1056.24,Heavyweight,0-2-0
Jon Olav Einemo,1056.24,Heavyweight,0-2-0
Louis Cosce,1056.24,Welterweight,0-2-0
James Giboo,1056.24,Welterweight,0-1-0
Rolles Gracie,1056.24,Heavyweight,0-1-0
Besam Yousef,1056.24,Welterweight,0-2-0
Josh Bryant,1056.24,Middleweight,0-1-0
Mario Neto,1056.24,Heavyweight,0-1-0
Wagner Silva,1056.24,Welterweight,0-2-0
Kerry Schall,1056.24,Heavyweight,0-1-0
Icho Larenas,1056.24,Heavyweight,0-1-0
Te Edwards,1056.24,Lightweight,0-2-0
John Polakowski,1056.24,Lightweight,0-1-0
Mike Lullo,1056.24,Featherweight,0-2-0
Darrill Schoonover,1056.24,Heavyweight,0-1-0
Vinicius Queiroz,1056.24,Heavyweight,0-1-0
Humberto Brown Morrison,1056.24,Featherweight,0-1-0
Jermaine Andre,1056.24,Middleweight,0-1-0
Marcus Jones,1056.24,Heavyweight,0-1-0
Kristof Midoux,1056.24,Heavyweight,0-1-0
Gilbert Smith,1056.24,Middleweight,0-1-0
James Bochnovic,1056.24,Middleweight,0-2-0
Bristol Marunde,1056.24,Welterweight,0-2-0
Shane Primm,1056.24,Light Heavyweight,0-1-0
Wagner Campos,1056.24,Featherweight,0-1-0
Bentley Syler,1056.24,Flyweight,0-1-0
Jacob Kilburn,1056.24,Featherweight,0-2-0
Michel Quinones,1056.24,Lightweight,0-2-0
Eric Nolan,1056.24,Middleweight,0-1-0
Jamie Yager,1056.24,Middleweight,0-1-0
Zygimantas Ramaska,1056.24,Featherweight,0-1-0
Steven Koslow,1056.24,Bantamweight,0-1-0
David Baron,1056.24,Lightweight,0-1-0
Nandor Guelmino,1056.24,Heavyweight,0-1-0
Justin James,1056.24,Lightweight,0-1-0
Josh Ferguson,1056.24,Flyweight,0-2-0
Bruno Korea,1056.24,Bantamweight,0-1-0
Micheal Gillmore,1056.24,Welterweight,0-2-0
Mike King,1056.24,Middleweight,0-1-0
Jared Rollins,1056.24,Welterweight,0-1-0
Dustin Neace,1056.24,Featherweight,0-1-0
Jeremy Jackson,1056.24,Welterweight,0-2-0
Derek Downey,1056.24,Middleweight,0-1-0
Dashon Johnson,1056.24,Featherweight,0-2-0
Byron Bloodworth,1056.24,Bantamweight,0-2-0
Edilberto de Oliveira,1056.24,Welterweight,0-2-0
Martin Svensson,1056.24,Lightweight,0-1-0
Lowell Anderson,1056.24,Middleweight,0-1-0
David Kaplan,1056.24,Lightweight,0-2-0
Yoislandy Izquierdo,1056.24,Lightweight,0-2-0
Oli Thompson,1056.24,Heavyweight,0-2-0
Boston Salmon,1056.2374420581402,Bantamweight,0-2-0
Shane Howell,1056.2328205180602,Flyweight,0-2-0
Colin Robinson,1056.2219545840312,Heavyweight,0-2-0
Yusaku Kinoshita,1056.2173464843372,Welterweight,0-2-0
Jason Gilliam,1056.2147039417132,Welterweight,0-2-0
Ivan Serati,1056.2021203404156,Light Heavyweight,0-1-0
Kristian Rothaermel,1056.1916994246315,Light Heavyweight,0-1-0
Brian Geraghty,1056.1794663381222,Lightweight,0-1-0
Dean Barry,1056.1583185034533,Welterweight,0-1-0
Robert Lucarelli,1056.0940125592895,Open Weight,0-1-0
Steve Judson,1056.0897952788848,Heavyweight,0-2-0
Filip Pejic,1056.0883329954772,Bantamweight,0-1-0
Ansar Chalangov,1056.0849084542588,Welterweight,0-2-0
Sam Fulton,1056.0814957173418,Heavyweight,0-2-0
Saeed Hosseini,1056.0814957173418,Lightweight,0-1-0
Eldo Xavier Dias,1056.0753427602124,Open Weight,0-1-0
Abdul-Kareem Al-Selwady,1056.0734349124639,Lightweight,0-1-0
Zane Frazier,1056.0694821616153,Open Weight,0-1-0
Drako Rodriguez,1056.0553044200979,Bantamweight,0-2-0
Fred Ettish,1056.00910333125,Open Weight,0-1-0
Chris Liguori,1055.9412926086939,Middleweight,0-1-0
Jeff Newton,1055.9412260533063,Light Heavyweight,0-1-0
Virna Jandiroba,1055.940169114344,Women's Strawweight,8-4-0
Joe Vedepo,1055.9260992134264,Middleweight,0-2-0
Alessandro Costa,1055.9051879091635,Flyweight,2-3-0
Jorge de Oliveira,1055.8906736028912,Lightweight,0-2-0
Tommy Hayden,1055.7399227501248,Featherweight,0-2-0
Kit Cope,1055.613729008381,Welterweight,0-1-0
Wes Albritton,1055.5103052078898,Lightweight,0-1-0
Kody Steele,1055.4928482402145,Lightweight,0-1-0
James Lee,1055.4775715709975,Light Heavyweight,0-1-0
David Velasquez,1055.434102613474,Lightweight,0-1-0
Steve Kennedy,1055.4297440073415,Welterweight,0-2-0
Rodrigo Ruas,1055.353435988355,Middleweight,0-1-0
John Campetella,1055.3424319741232,Open Weight,0-1-0
Grigory Popov,1055.2598568812214,Bantamweight,0-2-0
Edward Faaloloto,1055.2433258166584,Lightweight,0-2-0
Bob Gilstrap,1055.2433258166584,Middleweight,0-1-0
Roger Bowling,1055.2053716894225,Lightweight,0-2-1
Donnie Chappell,1055.167393810978,Lightweight,0-1-0
Dmitri Stepanov,1055.167393810978,Heavyweight,0-1-0
Roland Payne,1055.167393810978,Open Weight,0-1-0
James Moontasri,1055.0470540408191,Welterweight,2-4-0
Ryo Chonan,1055.026707000415,Welterweight,1-3-0
Max Rohskopf,1054.9729571596483,Lightweight,0-1-0
Ronald Jhun,1054.9007208000912,Welterweight,0-1-0
He-Man Gipson,1054.7369471939724,Open Weight,0-1-0
Danilo Belluardo,1054.7314327495574,Lightweight,0-2-0
Hector Ramirez,1054.7286097062463,Light Heavyweight,0-2-0
Cameron Dollar,1054.7064184976746,Lightweight,0-1-0
Diyar Nurgozhay,1054.685227271972,Light Heavyweight,0-2-0
John Lober,1054.6497860029556,Middleweight,0-1-0
Erik Silva,1054.6175849509214,Featherweight,0-2-0
Joao Pierini,1054.6158453306023,Lightweight,0-1-0
Ricky Rainey,1054.6066581496896,Welterweight,0-2-0
Nate Schroeder,1054.5736595797034,Heavyweight,0-1-0
Roger Zapata,1054.5736595797034,Welterweight,0-1-0
Marcos Mariano,1054.532700091468,Lightweight,0-2-0
Chris Avila,1054.5203382638206,Featherweight,0-2-0
Sean Alvarez,1054.4596109705676,Heavyweight,0-1-0
Brandon Jenkins,1054.3989584008668,Lightweight,0-2-0
Jason High,1054.3875762432651,Lightweight,2-3-0
Eiji Mitsuoka,1054.3163440337614,Featherweight,0-2-0
Alberto Uda,1054.29459224687,Middleweight,0-2-0
Elias Garcia,1054.2100146895075,Flyweight,0-2-0
Jason Witt,1054.0096589120212,Catch Weight,2-4-0
Sung Bin Jo,1053.9924413252354,Featherweight,0-1-0
Denise Gomes,1053.9861813455495,Women's Strawweight,6-2-0
Rafael Alves,1053.9795889785848,Lightweight,1-3-0
Shunichi Shimizu,1053.8374104234078,Bantamweight,0-1-0
Maxim Grishin,1053.8261462029852,Light Heavyweight,2-3-0
Justin Buchholz,1053.8016773147665,Lightweight,1-4-0
Antonio Dos Santos,1053.6598917314407,Middleweight,0-2-0
Tresean Gore,1053.6006056298693,Middleweight,2-4-0
Steve Steinbeiss,1053.5654654126324,Middleweight,0-2-0
Shane Campbell,1053.5295547651838,Lightweight,1-4-0
Darrell Horcher,1053.485354487461,Lightweight,1-3-0
Sean Sharaf,1053.348968384728,Heavyweight,0-1-0
Cody East,1053.3047525594006,Heavyweight,0-2-0
Masutatsu Yano,1053.2904164594177,Open Weight,0-1-0
Felipe Olivieri,1053.2522216367947,Lightweight,0-1-0
Tom Blackledge,1053.2520749757864,Light Heavyweight,0-1-0
Heath Herring,1053.0801474056377,Heavyweight,2-3-0
Vagner Rocha,1052.9723453630354,Lightweight,1-3-0
Geane Herrera,1052.860953904245,Flyweight,1-3-0
Terry Martin,1052.8035373211992,Middleweight,2-4-0
Kuniyoshi Hironaka,1052.7752611364638,Welterweight,1-3-0
Colby Covington,1052.7533035138642,Welterweight,12-5-0
Luis Gurule,1052.7093320731888,Flyweight,0-2-0
Jorge Patino,1052.607329899334,Lightweight,0-1-0
Daniel Frunza,1052.3181884034213,Welterweight,0-2-0
Luigi Vendramini,1052.1140788819425,Lightweight,1-3-0
Francisco Prado,1052.0735794926093,Welterweight,1-4-0
Junior Tafa,1052.0279818756417,Light Heavyweight,2-4-0
Brendson Ribeiro,1052.0105960391052,Light Heavyweight,2-4-0
Dominique Steele,1051.9748036495982,Welterweight,1-4-0
Kaan Ofli,1051.9322919189058,Featherweight,1-2-0
Mario Miranda,1051.8869016022832,Middleweight,1-3-0
Dongi Yang,1051.879105882981,Middleweight,2-3-0
Thomas Petersen,1051.572165196109,Heavyweight,2-3-0
Tae Hyun Bang,1051.2641643921986,Lightweight,2-3-0
Reuben Duran,1051.2641643921986,Bantamweight,1-3-0
Chris Barnett,1051.2630670172614,Heavyweight,2-4-0
Christian Morecraft,1051.0902729390402,Heavyweight,1-3-0
Chris Tuchscherer,1051.0641463830184,Heavyweight,1-3-0
Felipe Colares,1051.0362742334787,Featherweight,2-4-0
Daniel Sarafian,1051.0355480274632,Middleweight,2-4-0
Scott Smith,1050.8972454795226,Middleweight,1-3-0
Felipe dos Santos,1050.8758199973972,Flyweight,1-3-0
Junior Assuncao,1050.8387260762502,Featherweight,2-3-0
Scott Askham,1050.7415324013216,Middleweight,2-4-0
Johnny Munoz,1050.6930101279336,Bantamweight,2-4-0
Tra Telligman,1050.6141007426793,Heavyweight,1-4-0
Garreth McLellan,1050.4372055974889,Middleweight,1-4-0
Jose Johnson,1050.3695540557023,Flyweight,1-3-0
Patrick Williams,1050.349106979103,Bantamweight,1-3-0
Dan Argueta,1050.0081323719776,Bantamweight,1-3-2
Clay Collard,1049.9977557570621,Featherweight,1-3-0
Adam Fugitt,1049.9516926121319,Welterweight,2-3-0
Jeremy Kimball,1049.8260879405914,Light Heavyweight,1-3-0
Aoriqileng,1049.7829051757458,Bantamweight,4-4-1
Yosdenis Cedeno,1049.6976812036041,Lightweight,1-3-0
Khalid Taha,1049.6976812036041,Bantamweight,1-4-1
Brendan O'Reilly,1049.598411326503,Lightweight,1-3-0
Michael Kuiper,1049.5681603141452,Middleweight,1-3-0
Alvin Robinson,1049.5630586328693,Lightweight,1-3-0
Joachim Christensen,1049.5488322039203,Light Heavyweight,1-3-0
Chris Dempsey,1049.405542896389,Middleweight,1-3-0
Louis Gaudinot,1049.3269773585496,Flyweight,1-3-1
Chris Fishgold,1049.2589027335794,Featherweight,1-3-0
Alex Nicholson,1049.2265002458103,Middleweight,1-3-0
Viktor Pesta,1049.026331265635,Heavyweight,1-4-0
Gilbert Urbina,1048.9914835321108,Welterweight,1-3-0
Yao Zhikui,1048.8380244858315,Flyweight,1-3-0
Mike Guymon,1048.8324986949863,Welterweight,1-3-0
Rongzhu,1048.8263231932115,Lightweight,3-3-0
Cristiano Marcello,1048.7515254214838,Lightweight,1-3-0
Yaotzin Meza,1048.6939580043163,Featherweight,2-4-1
Karlos Vemola,1048.6844196153982,Middleweight,2-4-0
Rafael Cavalcante,1048.6277039606448,Light Heavyweight,1-4-0
Jasmine Jasudavicius,1048.5064149730788,Women's Flyweight,8-3-0
Nate Mohr,1048.482518430681,Lightweight,1-3-0
Oluwale Bamgbose,1048.4469663832274,Middleweight,1-4-0
Richie Vaculik,1048.440849279716,Flyweight,1-3-0
Teemu Packalen,1048.435455976599,Lightweight,1-3-0
Matt Sayles,1048.395192593917,Lightweight,1-3-0
Akbarh Arreola,1048.3432938166197,Lightweight,1-3-0
Anthony Birchak,1048.2953264285657,Bantamweight,2-4-0
Frankie Perez,1048.2890010690958,Lightweight,1-3-0
Kleydson Rodrigues,1048.2641607648723,Bantamweight,1-3-0
Karine Silva,1048.196215069102,Women's Flyweight,5-1-0
Riki Fukuda,1048.1653073919756,Middleweight,2-3-0
Igor Zinoviev,1048.158718668419,Middleweight,0-1-0
Vik Grujic,1048.1566248000001,Welterweight,1-3-0
Hayato Sakurai,1047.8670418342497,Welterweight,0-1-0
Gasan Umalatov,1047.8629947986892,Welterweight,1-3-0
Joby Sanchez,1047.642830097288,Bantamweight,1-4-0
Lucas Alexander,1047.570992657424,Featherweight,1-3-0
Cyril Asker,1047.5621889707277,Heavyweight,2-3-0
Yizha,1047.530404131048,Featherweight,1-2-0
Renee Forte,1047.2627952133405,Lightweight,1-3-0
Josh Fremd,1047.1847558053573,Middleweight,2-4-0
Andreas Michailidis,1047.0842626922895,Welterweight,1-3-0
Claudio Ribeiro,1046.929163423676,Middleweight,1-3-0
Willie Gates,1046.9211478676277,Flyweight,1-3-0
Phil Harris,1046.870439667069,Flyweight,1-3-1
Matt Dwyer,1046.6454649462507,Welterweight,1-3-0
Jason Gonzalez,1046.1938211997165,Lightweight,1-3-0
Daniel Spitz,1045.8897790504839,Heavyweight,1-3-0
Germaine de Randamie,1045.8196120343905,Women's Bantamweight,7-3-0
Mike de la Torre,1045.7357422293987,Featherweight,2-4-1
Alex Da Silva,1045.7079958471925,Lightweight,1-3-0
Gabriel Miranda,1045.3952707280791,Featherweight,1-3-0
Joseph Holmes,1045.3128045036901,Middleweight,1-3-0
Ian McCall,1044.8496498940337,Flyweight,2-3-1
Yohan Lainesse,1044.5353708274442,Welterweight,1-3-0
Cody Pfister,1044.41458303833,Lightweight,1-3-0
Jay Cucciniello,1044.3600000000001,Featherweight,0-1-0
Baergeng Jieleyisi,1044.3600000000001,Bantamweight,0-1-0
Colin Fletcher,1044.3600000000001,Lightweight,0-2-0
Leonardo Morales,1044.3600000000001,Bantamweight,0-2-0
Horacio Gutierrez,1044.3600000000001,Featherweight,0-2-0
Dileno Lopes,1044.3600000000001,Bantamweight,0-2-0
Enrique Marin,1044.3600000000001,Lightweight,0-2-0
Ailin Perez,1043.663623670805,Women's Bantamweight,5-1-0
Zac Pauga,1043.6350284340388,Light Heavyweight,1-3-0
Casey O'Neill,1043.5947236548845,Women's Flyweight,5-2-0
Fabricio Camoes,1043.3543153513965,Lightweight,1-4-1
Matt Van Buren,1043.2908,Light Heavyweight,0-2-0
Kiru Sahota,1043.2908,Flyweight,0-1-0
Marcus Silveira,1043.2908,Heavyweight,0-1-1
Rodrigo Sezinando,1043.2908,Welterweight,0-1-0
Tommy Speer,1043.2908,Welterweight,0-2-0
Andre Pederneiras,1042.237860768901,Lightweight,0-1-0
Sheldon Westcott,1042.1610686990673,Welterweight,1-2-0
Matt Hughes,1041.702987897803,Welterweight,18-7-0
Albert Morales,1041.5830273995437,Bantamweight,1-4-1
Deiveson Figueiredo,1041.4119360811649,Bantamweight,14-5-1
SeungGuk Choi,1040.796,Flyweight,0-1-0
Fernando Bruno,1040.796,Featherweight,0-2-0
Hayder Hassan,1040.796,Welterweight,0-2-0
Kevin Casey,1039.8577549422698,Middleweight,1-3-3
Yan Xiaonan,1039.0431809597137,Women's Strawweight,9-4-0
Chris Weidman,1038.7321388585447,Catch Weight,12-8-0
Mike Brown,1038.409995948419,Featherweight,2-4-0
Alibi Idiris,1037.8482310935285,Flyweight,0-1-0
Austen Lane,1037.124,Heavyweight,1-4-1
Kevin Croom,1037.124,Bantamweight,0-3-1
Jordan Griffin,1036.1121625346677,Featherweight,1-4-0
David Zawada,1036.0851523176943,Welterweight,1-4-0
Quang Le,1036.0059007138013,Bantamweight,1-3-0
Eric Shelton,1035.869218273215,Flyweight,2-4-0
Iasmin Lucindo,1034.3754234864732,Women's Strawweight,5-2-0
AJ Fletcher,1034.2222927789744,Welterweight,1-3-0
Jaqueline Amorim,1034.2198724547861,Women's Strawweight,4-2-0
Kamal Shalorus,1033.9794465262185,Lightweight,0-3-0
Kimo Leopoldo,1033.8378752224014,Heavyweight,2-4-0
Curtis Blaydes,1033.8314302832637,Heavyweight,14-5-1
Jeka Saragih,1033.774727127461,Featherweight,1-3-0
Papy Abedi,1033.260406222951,Middleweight,1-3-0
Dennis Buzukja,1032.9023269476402,Lightweight,1-3-0
David Mitchell,1032.8062536699865,Welterweight,1-4-0
Jon Delos Reyes,1032.7430706939062,Flyweight,1-3-0
Erick Gonzalez,1031.9056744587308,Lightweight,0-3-0
Kevin Borjas,1031.7819164372797,Flyweight,1-3-0
Charlie Ontiveros,1031.4754556803514,Lightweight,0-3-0
Westin Wilson,1030.8900125197465,Featherweight,1-3-0
Marcin Held,1030.7731921126706,Lightweight,1-3-0
Justin Gaethje,1030.6109122069388,Lightweight,9-5-0
Gilbert Yvel,1030.3515464929012,Heavyweight,0-3-0
Saparbeg Safarov,1030.242038499183,Middleweight,1-3-0
Salim Touahri,1030.2388134043058,Welterweight,0-3-0
Jason Dent,1030.2378581933076,Lightweight,1-3-0
William Macario,1030.1152041972082,Welterweight,1-3-0
Marvin Eastman,1030.0038410467605,Middleweight,1-4-0
Rolando Bedoya,1029.993094605464,Lightweight,0-4-0
Kris Moutinho,1029.9873713917452,Bantamweight,0-3-0
Darrius Flowers,1029.976052758122,Welterweight,0-3-0
Niklas Stolze,1029.8875350992764,Lightweight,0-3-0
Andy Enz,1029.7910373939155,Middleweight,0-3-0
Anderson Dos Santos,1029.7093726253815,Bantamweight,1-3-0
Jason Reinhardt,1029.6373846042868,Bantamweight,0-3-0
Alex Reyes,1029.5184477091611,Lightweight,0-3-0
Edgar Garcia,1029.4871250286174,Welterweight,0-4-0
Mateus Mendonca,1029.4797293574265,Flyweight,0-3-0
Kazula Vargas,1029.4347924082313,Lightweight,1-3-0
Leonardo Mafra,1029.3999131832204,Lightweight,1-3-0
Journey Newson,1029.281892198972,Catch Weight,1-4-1
AJ Dobson,1029.2100264649148,Middleweight,1-3-0
Wes Sims,1029.2028005581935,Heavyweight,0-3-0
Mostapha Al-Turk,1029.153129296185,Heavyweight,0-3-0
Anton Turkalj,1029.089818919164,Light Heavyweight,0-4-0
Sabah Homasi,1029.0675339765519,Welterweight,0-3-0
Bojan Mihajlovic,1029.0407786606957,Light Heavyweight,0-3-0
Devin Powell,1028.8549947703266,Lightweight,1-3-0
Mike Breeden,1028.7809470085456,Lightweight,1-3-0
Dan Moret,1028.7232318176507,Lightweight,0-3-0
Kyle Prepolec,1028.70784080963,Lightweight,0-4-0
Dan Lauzon,1028.7057627351014,Lightweight,0-3-0
Damian Grabowski,1028.6884543354147,Heavyweight,0-3-0
Darrell Montague,1028.5514633396024,Flyweight,0-3-0
Jarno Errens,1028.517829817644,Featherweight,1-3-0
Danny Martinez,1028.387798051766,Flyweight,1-3-0
Nikolay Veretennikov,1028.275446527628,Welterweight,1-3-0
Ricardo Funch,1028.2665375073702,Welterweight,0-4-0
Jason Miller,1028.250164602126,Middleweight,0-3-0
Jared Papazian,1028.188830887515,Flyweight,0-3-0
Alen Amedovski,1028.182590708548,Middleweight,0-4-0
Austin Arnett,1028.1616785036042,Featherweight,1-3-0
Caio Machado,1028.1472309159083,Light Heavyweight,0-3-0
Dominic Waters,1028.1212031580405,Welterweight,0-3-0
Jeff Hughes,1028.0918483217808,Heavyweight,0-3-1
Seth Petruzelli,1028.0918483217808,Light Heavyweight,0-4-0
Blood Diamond,1028.0669995517362,Welterweight,0-3-0
Jason Young,1028.0502359930483,Featherweight,1-3-0
Martin Day,1027.954054335935,Featherweight,0-4-0
Edwin DeWees,1027.8884346710408,Middleweight,0-3-0
Assuerio Silva,1027.680402358537,Heavyweight,0-3-0
Ruan Potts,1027.6413348922558,Heavyweight,0-3-0
Jay Hieron,1027.5767562634758,Welterweight,0-4-0
Alan Baudot,1027.5084673386145,Heavyweight,0-3-1
Rafael Cerquiera,1027.3165683504628,Light Heavyweight,0-3-0
Miranda Maverick,1027.2712403369687,Women's Flyweight,8-4-0
Harry Hunsucker,1027.2431983032773,Light Heavyweight,0-3-0
Rolando Dy,1027.10800882964,Featherweight,1-3-0
Darian Weeks,1027.0759364682708,Welterweight,0-3-0
Zarrukh Adashev,1026.8550776573315,Flyweight,1-3-0
Rodney Wallace,1026.812379964657,Light Heavyweight,0-3-0
Jay Perrin,1026.7316542907654,Bantamweight,0-3-0
Saimon Oliveira,1026.681302712518,Bantamweight,0-4-0
Jumabieke Tuerxun,1026.6480000000001,Bantamweight,0-3-0
Mike Rhodes,1026.6480000000001,Welterweight,0-3-0
Terrion Ware,1026.6480000000001,Bantamweight,0-4-0
Josh Grispi,1026.6480000000001,Featherweight,0-4-0
Keith Wisniewski,1026.6480000000001,Welterweight,0-4-0
Norifumi Yamamoto,1026.6480000000001,Bantamweight,0-3-1
Jordan Williams,1026.6480000000001,Welterweight,0-3-0
Antonio Arroyo,1026.6480000000001,Middleweight,0-3-0
Cole Escovedo,1026.6480000000001,Bantamweight,0-3-0
Daniel Teymur,1026.6480000000001,Featherweight,1-4-0
Lukasz Sajewski,1026.6471016687083,Lightweight,0-3-0
Jose Daniel Medina,1026.6297714249868,Middleweight,0-3-0
Vinicius Salvador,1026.5835415329673,Bantamweight,0-3-0
Mohammad Yahya,1026.4305169502284,Featherweight,0-3-0
Luana Santos,1026.2732077416788,Women's Bantamweight,4-1-0
Iliarde Santos,1026.2183876744775,Flyweight,0-3-0
Brian Camozzi,1026.2135180208604,Welterweight,0-3-0
Estevan Payan,1026.0383848719787,Featherweight,0-3-0
Chris de la Rocha,1026.0324331782283,Heavyweight,1-3-0
James Llontop,1026.01944,Catch Weight,0-3-0
Vinicius Moreira,1026.01944,Light Heavyweight,0-4-0
Jeremy Larsen,1026.01944,Featherweight,0-3-0
Jesse Forbes,1026.01944,Middleweight,0-3-0
Kiefer Crosbie,1026.01944,Welterweight,0-3-0
Felix Lee Mitchell,1026.01944,Open Weight,0-3-0
Garett Whiteley,1026.01944,Lightweight,0-3-0
Damacio Page,1026.01944,Bantamweight,0-3-0
Gabe Ruediger,1026.014083463239,Lightweight,0-3-0
Gideon Ray,1025.951162791598,Middleweight,0-3-0
Kyle Bradley,1025.9249184078972,Lightweight,1-3-0
Hector Aldana,1025.9211253890653,Welterweight,0-3-0
Fabio Cherant,1025.8780235977563,Light Heavyweight,0-3-0
Bevon Lewis,1025.5746819909473,Middleweight,1-3-0
Yoji Anjo,1025.3826584751139,Middleweight,0-3-0
Jeff Curran,1025.3819253759307,Bantamweight,0-3-0
Bobby Nash,1025.3461745302889,Welterweight,0-3-0
Diego Saraiva,1025.2485978982656,Lightweight,0-3-0
